Region,Market ID,Market Name,Timezone
CTX,131,North Texas,America/Chicago
CTX,132,Fort Worth,America/Chicago
CTX,133,Dallas,America/Chicago
CTX,134,Shreveport,America/Chicago
CTX,135,East TX - Shreveport,America/Chicago
CTX,136,San Antonio - Schertz,America/Chicago
CTX,137,Austin,America/Chicago
CTX,138,Lubbock,America/Chicago
CTX,139,Midland,America/Chicago
CTX,140,Rio Grande Valley,America/Chicago
CTX,184,Tulsa,America/Chicago
CGC,120,Cicero,America/Chicago
CGC,121,Copperfield,America/Chicago
CGC,122,Cinco,America/Chicago
CGC,123,Cypress,America/Chicago
CGC,124,Jackson - Covington,America/Chicago
CGC,125,Baton Rouge,America/Chicago
CGC,126,Covington,America/Chicago
CGC,127,Pensacola,America/Chicago
CGC,129,Copperfield,America/Chicago
SAC,31,Sunnyvale,America/Los_Angeles
SAC,36,Rocklin,America/Los_Angeles
NE,56,Boston - W Roxbury 1,America/New_York
NE,57,Southeastern MA - W Roxbury 2,America/New_York
NE,58,Northeastern MA - Billerica,America/New_York
NE,59,Central MA - Westboro,America/New_York
NE,60,RI/Bristol County MA - Taunton,America/New_York
NE,61,New Hampshire - Hooksett,America/New_York
NE,62,Maine - Hooksett,America/New_York
NE,64,Central Counties Wallingford 1,America/New_York
NE,65,Fairfield County Wallingford 2,America/New_York
NE,66,VT/West MA Counties Windsor 1,America/New_York
NE,68,Windsor 1,America/New_York
NYM,78,Westch Rockld Putnam - WNyack1,America/New_York
NYM,79,Bronx Upper Manhattan- WNyack2,America/New_York
NYM,80,Midtown Manhattan - Yonkers,America/New_York
NYM,81,StatenIslBrooklyn-Whitestone 1,America/New_York
NYM,82,Queens - Whitestone 2,America/New_York
NYM,84,Lower Manhattan - Mineola2,America/New_York
NYM,85,Suffolk - Farmingdale 1,America/New_York
NYM,92,Middlesex - Branchburg 3,America/New_York
OPW,229,Market229,America/New_York
OPW,232,Market232,America/New_York
OPW,241,Pittsburgh - Johnstown,America/New_York
OPW,242,Pittsburgh - Bridgeville,America/New_York
OPW,243,Pittsburgh - Bridgeville 2,America/New_York
OPW,244,Cleveland - Cleveland 1,America/New_York
OPW,245,Toledo - Cleveland 2,America/New_York
OPW,246,Akron 1,America/New_York
OPW,247,Akron 2,America/New_York
OPW,250,Cincinnati - Duff 1,America/New_York
OPW,251,Dayton - Duff 2,America/New_York
OPW,252,Columbus - Lewis Center 1,America/New_York
OPW,253,Columbus - Lewis Center 2,America/New_York
OPW,254,NW Ohio - Maumee,America/New_York
OPW,255,Huntington - St Clairesville,America/New_York
TRI,86,NorthEast - Jersey City 1,America/New_York
TRI,87,East - Jersey City 2,America/New_York
TRI,88,West - Branchburg 1,America/New_York
TRI,89,South - Branchburg 2,America/New_York
TRI,90,NorthWest - Wayne 2,America/New_York
TRI,91,Central - Wayne 1,America/New_York
TRI,96,Scranton Wilkes-Barre/Pittston,America/New_York
TRI,97,Harrisburg - Harrisburg,America/New_York
TRI,98,Philadelphia - Philadelphia,America/New_York
TRI,99,Vineland - Wilmington 2,America/New_York
TRI,100,Burlington - Maple Shade,America/New_York
TRI,101,Plymouth Meeting,America/New_York
TRI,102,Wilmington,America/New_York
CGC,180,North Mississippi,America/Chicago
CGC,181,Memphis - WestTenn,America/Chicago
CGC,182,LittleRock,America/Chicago
CGC,185,Greater Arkansas,America/Chicago
CGC,186,AR Northwest Arkansas,America/Chicago
UNY,70,Buffalo,America/New_York
UNY,71,Albany - North Greenbush 1,America/New_York
UNY,72,Syracuse,America/New_York
UNY,73,Rochester,America/New_York
UNY,74,North Greenbush 2,America/New_York
WBV,106,SilverSpring-Annpolis Junction,America/New_York
WBV,107,Washington - Adelphi,America/New_York
WBV,109,Frederick - Woodlawn 2,America/New_York
WBV,110,Salisbury,America/New_York
WBV,111,Southern Maryland - Woodlawn 1,America/New_York
WBV,112,Fairfax - Chantilly,America/New_York
WBV,113,Norfolk - Lee Hall,America/New_York
WBV,114,Richmond,America/New_York
WBV,115,Charlottesville - Goods Bridge,America/New_York
WBV,116,Roanoke,America/New_York
WBV,117,Chantilly 2,America/New_York
